b_p,network,h_p,offset,run_index,active_set,majority
0.01,upsjobs,0.8,-30,7,706.5275,461.5164
0.01,upsjobs,0.8,-30,8,706.5602,461.3028
0.01,upsjobs,0.8,-30,9,706.5085,461.3587
0.01,upsjobs,0.8,-20,0,708.511,474.3191
0.01,upsjobs,0.8,-20,1,708.7043,474.5089
0.01,upsjobs,0.8,-20,2,708.6802,474.5871
0.01,upsjobs,0.8,-20,3,708.5794,474.2757
0.01,upsjobs,0.8,-20,4,708.3148,474.1405
0.01,upsjobs,0.8,-20,5,708.8896,474.526
0.01,upsjobs,0.8,-20,6,708.4036,474.3007
0.01,upsjobs,0.8,-20,7,708.3864,474.2783
0.01,upsjobs,0.8,-20,8,708.8363,474.6624
0.01,upsjobs,0.8,-20,9,709.042,474.6722
0.01,upsjobs,0.8,-10,0,709.8178,487.1379
0.01,upsjobs,0.8,-10,1,709.8715,487.0799
0.01,upsjobs,0.8,-10,2,709.3567,486.8003
0.01,upsjobs,0.8,-10,3,709.6583,486.8499
0.01,upsjobs,0.8,-10,4,709.2861,486.6583
0.01,upsjobs,0.8,-10,5,709.5594,486.8248
0.01,upsjobs,0.8,-10,6,709.3568,486.6811
0.01,upsjobs,0.8,-10,7,709.7551,486.9199
0.01,upsjobs,0.8,-10,8,709.2259,486.7168
0.01,upsjobs,0.8,-10,9,708.9222,486.3959
0.01,upsjobs,0.8,0,0,707.9488,498.2341
0.01,upsjobs,0.8,0,1,707.8645,498.116
0.01,upsjobs,0.8,0,2,707.5909,497.9991
0.01,upsjobs,0.8,0,3,708.0863,498.2092
0.01,upsjobs,0.8,0,4,708.4334,498.5053
0.01,upsjobs,0.8,0,5,707.8783,498.2993
0.01,upsjobs,0.8,0,6,707.7648,498.0558
0.01,upsjobs,0.8,0,7,707.9332,498.3222
0.01,upsjobs,0.8,0,8,708.074,498.4269
0.01,upsjobs,0.8,0,9,708.1626,498.3793
0.01,upsjobs,0.8,10,0,702.6101,507.35
0.01,upsjobs,0.8,10,1,702.8838,507.5704
0.01,upsjobs,0.8,10,2,702.2387,507.1398
0.01,upsjobs,0.8,10,3,702.4945,507.472
0.01,upsjobs,0.8,10,4,702.5603,507.5987
0.01,upsjobs,0.8,10,5,702.6665,507.5699
0.01,upsjobs,0.8,10,6,702.8143,507.5566
0.01,upsjobs,0.8,10,7,702.4883,507.1727
0.01,upsjobs,0.8,10,8,702.503,507.1148
0.01,upsjobs,0.8,10,9,702.4636,507.3257
0.01,upsjobs,0.8,20,0,699.1169,518.4357
0.01,upsjobs,0.8,20,1,699.5198,518.8684
0.01,upsjobs,0.8,20,2,699.8894,519.2582
